[2023-02-16-15-47-19] File | New file - log:logs\log-2023-02-16-15-47-19.txt
[2023-02-16-15-47-19] File | New file - server:server.txt
[2023-02-16-15-47-20] File | Loaded file - user-channels:user-channels.txt
[2023-02-16-15-47-20] File | New file - fakenames:fakenames.txt
[2023-02-16-15-47-20] Startup | Events started
[2023-02-16-15-47-20] Startup | Startup classes started
[2023-02-16-15-47-20] Startup | Bot started
[2023-02-16-15-47-20] File | New file - commands:commands.txt
[2023-02-16-15-47-20] Startup | Commands registered: /ad
[2023-02-16-15-47-20] Startup | Commands registered: /message
[2023-02-16-15-47-20] Startup | Commands registered: /fixme
[2023-02-16-15-47-20] Startup | Commands registered: /fakename
[2023-02-16-15-47-20] Startup | Commands registered: /list
[2023-02-16-15-47-20] Startup | Commands started
[2023-02-16-15-47-21] Event | ButtonInteractionEvent - adSPLIT2Hi .SPLIT1Idealst:168190484819345409
