[2023-02-16-15-52-22] File | New file - log:logs\log-2023-02-16-15-52-22.txt
[2023-02-16-15-52-22] File | New file - server:server.txt
[2023-02-16-15-52-23] File | Loaded file - user-channels:user-channels.txt
[2023-02-16-15-52-23] File | New file - fakenames:fakenames.txt
[2023-02-16-15-52-23] Startup | Events started
[2023-02-16-15-52-23] Startup | Startup classes started
[2023-02-16-15-52-23] Startup | Bot started
[2023-02-16-15-52-23] File | New file - commands:commands.txt
[2023-02-16-15-52-23] Startup | Commands registered: /ad
[2023-02-16-15-52-23] Startup | Commands registered: /message
[2023-02-16-15-52-23] Startup | Commands registered: /fixme
[2023-02-16-15-52-23] Startup | Commands registered: /fakename
[2023-02-16-15-52-23] Startup | Commands registered: /list
[2023-02-16-15-52-23] Startup | Commands started
[2023-02-16-15-52-25] Event | ButtonInteractionEvent - adSPLIT2Hi .SPLIT1Idealst:168190484819345409
[2023-02-16-15-52-27] Event | ButtonInteractionEvent - adSPLIT2I want you to code something!SPLIT1Bubbles:168190484819345409
[2023-02-16-15-52-29] Event | ButtonInteractionEvent - adSPLIT1inquireSPLIT2plutoni:168190484819345409
