[2023-02-13-19-41-07] File | New file - log:logs\log-2023-02-13-19-41-07.txt
[2023-02-13-19-41-07] File | New file - server:server.txt
[2023-02-13-19-41-09] File | Loaded file - user-channels:user-channels.txt
[2023-02-13-19-41-09] File | New file - fakenames:fakenames.txt
[2023-02-13-19-41-09] Startup | Events started
[2023-02-13-19-41-09] Startup | Startup classes started
[2023-02-13-19-41-09] Startup | Bot started
[2023-02-13-19-41-09] File | New file - commands:commands.txt
[2023-02-13-19-41-09] Startup | Commands registered: /ad
[2023-02-13-19-41-09] Startup | Commands registered: /message
[2023-02-13-19-41-09] Startup | Commands registered: /fixme
[2023-02-13-19-41-09] Startup | Commands registered: /fakename
[2023-02-13-19-41-09] Startup | Commands registered: /list
[2023-02-13-19-41-09] Startup | Commands started
