[2023-02-13-18-58-25] File | New file - log:logs\log-2023-02-13-18-58-25.txt
[2023-02-13-18-58-25] File | New file - server:server.txt
[2023-02-13-18-58-26] File | Loaded file - user-channels:user-channels.txt
[2023-02-13-18-58-26] File | New file - fakenames:fakenames.txt
[2023-02-13-18-58-26] Startup | Events started
[2023-02-13-18-58-26] Startup | Startup classes started
[2023-02-13-18-58-26] Startup | Bot started
[2023-02-13-18-58-26] File | New file - commands:commands.txt
[2023-02-13-18-58-26] Startup | Commands registered: /ad
[2023-02-13-18-58-26] Startup | Commands registered: /message
[2023-02-13-18-58-26] Startup | Commands registered: /fixme
[2023-02-13-18-58-26] Startup | Commands registered: /fakename
[2023-02-13-18-58-26] Startup | Commands registered: /list
