[2023-02-13-19-19-28] File | New file - log:logs\log-2023-02-13-19-19-28.txt
[2023-02-13-19-19-28] File | New file - server:server.txt
[2023-02-13-19-19-29] File | Loaded file - user-channels:user-channels.txt
[2023-02-13-19-19-29] File | New file - fakenames:fakenames.txt
[2023-02-13-19-19-29] Startup | Events started
[2023-02-13-19-19-29] Startup | Startup classes started
[2023-02-13-19-19-29] Startup | Bot started
[2023-02-13-19-19-29] File | New file - commands:commands.txt
[2023-02-13-19-19-29] Startup | Commands registered: /ad
[2023-02-13-19-19-29] Startup | Commands registered: /message
[2023-02-13-19-19-29] Startup | Commands registered: /fixme
[2023-02-13-19-19-29] Startup | Commands registered: /fakename
[2023-02-13-19-19-29] Startup | Commands registered: /list
[2023-02-13-19-19-29] Startup | Commands started
[2023-02-13-19-19-35] Event | SlashCommandInteractionEvent - /message name: Cryptic message: hheyy:168190484819345409
