[2023-02-13-19-44-15] File | New file - log:logs\log-2023-02-13-19-44-15.txt
[2023-02-13-19-44-15] File | New file - server:server.txt
[2023-02-13-19-44-16] File | Loaded file - user-channels:user-channels.txt
[2023-02-13-19-44-16] File | New file - fakenames:fakenames.txt
[2023-02-13-19-44-16] Startup | Events started
[2023-02-13-19-44-16] Startup | Startup classes started
[2023-02-13-19-44-16] Startup | Bot started
[2023-02-13-19-44-16] File | New file - commands:commands.txt
[2023-02-13-19-44-16] Startup | Commands registered: /ad
[2023-02-13-19-44-16] Startup | Commands registered: /message
[2023-02-13-19-44-16] Startup | Commands registered: /fixme
[2023-02-13-19-44-16] Startup | Commands registered: /fakename
[2023-02-13-19-44-16] Startup | Commands registered: /list
[2023-02-13-19-44-16] Startup | Commands started
[2023-02-13-19-44-26] Event | ButtonInteractionEvent - reply:Bubbles:409168022637641739
[2023-02-13-19-45-51] Event | SlashCommandInteractionEvent - /list:168190484819345409
[2023-02-13-19-45-52] Event | MessageReceivedEvent - 1071552113634721803:1070390016016121937:
[2023-02-13-19-46-50] Event | MessageReceivedEvent - 1071679321997062244:168190484819345409:
[2023-02-13-20-47-03] Event | MessageReceivedEvent - 1071552129153638420:562808334277804033:me too since i’m smugs
