[2023-02-13-18-53-02] File | New file - log:logs\log-2023-02-13-18-53-02.txt
[2023-02-13-18-53-02] File | New file - server:server.txt
[2023-02-13-18-53-04] File | Loaded file - user-channels:user-channels.txt
[2023-02-13-18-53-04] File | New file - fakenames:fakenames.txt
[2023-02-13-18-53-04] Startup | Events started
[2023-02-13-18-53-04] Startup | Startup classes started
[2023-02-13-18-53-04] Startup | Bot started
[2023-02-13-18-53-04] File | New file - commands:commands.txt
[2023-02-13-18-53-04] Startup | Commands registered: /ad
