[2023-02-13-19-15-36] File | New file - log:logs\log-2023-02-13-19-15-36.txt
[2023-02-13-19-15-36] File | New file - server:server.txt
[2023-02-13-19-15-38] File | Loaded file - user-channels:user-channels.txt
[2023-02-13-19-15-38] File | New file - fakenames:fakenames.txt
[2023-02-13-19-15-38] Startup | Events started
[2023-02-13-19-15-38] Startup | Startup classes started
[2023-02-13-19-15-38] Startup | Bot started
[2023-02-13-19-15-38] File | New file - commands:commands.txt
[2023-02-13-19-15-38] Startup | Commands registered: /ad
[2023-02-13-19-15-38] Startup | Commands registered: /message
[2023-02-13-19-15-38] Startup | Commands registered: /fixme
[2023-02-13-19-15-38] Startup | Commands registered: /fakename
[2023-02-13-19-15-38] Startup | Commands registered: /list
[2023-02-13-19-15-38] Startup | Commands started
[2023-02-13-19-15-46] Event | SlashCommandInteractionEvent - /message name: cryptic message: hehe:168190484819345409
[2023-02-13-19-16-38] Event | SlashCommandInteractionEvent - /message name: Cryptic message: hi:168190484819345409
