[2023-02-13-19-06-33] File | New file - log:logs\log-2023-02-13-19-06-33.txt
[2023-02-13-19-06-33] File | New file - server:server.txt
[2023-02-13-19-06-34] File | Loaded file - user-channels:user-channels.txt
[2023-02-13-19-06-34] File | New file - fakenames:fakenames.txt
[2023-02-13-19-06-34] Startup | Events started
[2023-02-13-19-06-34] Startup | Startup classes started
[2023-02-13-19-06-34] Startup | Bot started
[2023-02-13-19-06-34] File | New file - commands:commands.txt
[2023-02-13-19-06-34] Startup | Commands registered: /ad
[2023-02-13-19-06-34] Startup | Commands registered: /message
[2023-02-13-19-06-34] Startup | Commands registered: /fixme
[2023-02-13-19-06-34] Startup | Commands registered: /fakename
[2023-02-13-19-06-34] Startup | Commands registered: /list
[2023-02-13-19-06-34] Startup | Commands started
[2023-02-13-19-06-35] Event | SlashCommandInteractionEvent - /list:168190484819345409
[2023-02-13-19-06-36] Event | MessageReceivedEvent - 1071552113634721803:1070390016016121937:
